customer_id,surname,credit_score,geography,gender,age,tenure,balance,product_count,has_creditcard,active_member,estimated_salary,complain,satisfaction_score,card_type,points_earned,churn
15565759,Uwakwe,700,France,Female,null,8,106589.73,1,null,null,185599.71,null,null,null,null,1
15565807,Genovese,699,France,Male,null,4,0.0,2,null,null,126551.25,null,null,null,null,0
15565819,Pinto,669,Germany,Female,null,6,137946.75,1,null,null,82467.57,null,null,null,null,null
15566141,Onio,682,France,Female,null,2,130933.52,2,null,null,199644.6,null,null,null,null,null
15566187,K?,823,Germany,Female,null,8,137723.24,2,null,null,123535.09,null,null,null,null,0
15566238,Mazzi,696,Spain,Female,null,2,171671.9,1,null,null,181419.29,null,null,null,null,null
15566246,Onuoha,661,France,Female,null,1,0.0,1,null,null,4595.05,null,null,null,null,null
15566372,Lo,727,France,Female,null,2,0.0,1,null,null,171096.2,null,null,null,null,1
15566726,Nkemdilim,602,Spain,Female,null,3,0.0,2,null,null,168814.32,null,null,null,null,null
15566878,Manna,649,France,Male,null,6,0.0,2,null,null,182495.85,null,null,null,null,null
15567111,Lucciano,554,France,Female,null,2,86977.96,2,null,null,109794.31,null,null,null,null,null
15567138,Chukwumaobim,846,France,Male,null,3,0.0,2,null,null,152310.19,null,null,null,null,null
15567806,K'ung,679,France,Male,null,7,87946.39,1,null,null,146785.94,null,null,null,null,0
15567807,Pirozzi,616,France,Male,null,5,87915.73,1,null,null,162267.28,null,null,null,null,0
15567826,Zetticci,556,France,Female,null,9,0.0,4,null,null,87811.12,null,null,null,null,null
15567829,L?,762,France,Female,null,9,136442.58,1,null,null,102760.96,null,null,null,null,null
15567845,Fanucci,684,France,Male,null,9,0.0,2,null,null,163849.68,null,null,null,null,0
15568465,Pisano,646,Germany,Male,null,4,121276.32,2,null,null,78770.86,null,null,null,null,null
15568574,Chukwuemeka,646,Spain,Female,null,4,88335.04,1,null,null,168516.72,null,null,null,null,0
15568898,Obiajulu,682,Germany,Male,null,7,146856.39,2,null,null,57323.26,null,null,null,null,null
15569078,Genovese,586,France,Male,null,10,0.0,2,null,null,171099.22,null,null,null,null,0
15569246,Palerma,684,Spain,Male,null,5,0.0,2,null,null,142887.33,null,null,null,null,null
15569409,Ch'in,512,Spain,Male,null,5,168069.73,1,null,null,35534.68,null,null,null,null,null
15569586,Pisano,633,Spain,Male,null,10,0.0,2,null,null,185855.71,null,null,null,null,0
15569627,Muecke,659,France,Male,null,7,0.0,2,null,null,183494.87,null,null,null,null,0
15569643,Trevisani,668,France,Female,null,3,0.0,1,null,null,164523.6,null,null,null,null,null
15569783,Shih,627,France,Female,null,4,0.0,2,null,null,54949.61,null,null,null,null,0
15570069,Ts'ai,502,Germany,Male,null,4,144705.81,2,null,null,51553.46,null,null,null,null,0
15570080,Macleod,656,France,Male,null,9,0.0,2,null,null,161207.75,null,null,null,null,0
15570083,Chioke,616,France,Male,null,3,0.0,2,null,null,193502.25,null,null,null,null,0
15570094,Nnanna,624,France,Female,null,7,0.0,2,null,null,126223.5,null,null,null,null,null
15570115,Eluemuno,757,France,Male,null,5,0.0,1,null,null,152871.99,null,null,null,null,0
15570142,H?,619,France,Male,null,2,0.0,1,null,null,136301.1,null,null,null,null,1
15570165,Trevisano,673,France,Male,null,8,0.0,2,null,null,108899.85,null,null,null,null,null
15570309,Bezrukov,636,Spain,Female,null,7,121854.45,1,null,null,97782.92,null,null,null,null,1
15570349,Martin,584,France,Female,null,6,152622.34,1,null,null,99298.8,null,null,null,null,0
15570492,Ts'ui,699,France,Male,null,5,0.0,2,null,null,118959.77,null,null,null,null,null
15570631,Ts'ui,696,Spain,Female,null,9,92716.96,2,null,null,163477.22,null,null,null,null,0
15570858,Nwachukwu,582,Spain,Male,null,6,0.0,2,null,null,130404.93,null,null,null,null,0
15570919,Estep,652,France,Female,null,2,0.0,2,null,null,117834.92,null,null,null,null,0
15570972,Cremonesi,843,Germany,Male,null,8,127585.98,2,null,null,155786.01,null,null,null,null,0
15570974,Hsiung,653,France,Female,null,8,0.0,1,null,null,54949.44,null,null,null,null,1
15571058,Illingworth,582,France,Male,null,9,136680.64,1,null,null,49835.19,null,null,null,null,null
15571063,Akhtar,650,Spain,Male,null,4,103888.65,1,null,null,38652.36,null,null,null,null,1
15571135,Maclean,621,France,Male,null,9,0.0,2,null,null,91086.95,null,null,null,null,0
15571165,Ts'ui,592,France,Female,null,1,0.0,2,null,null,106937.06,null,null,null,null,null
15571254,Sun,707,France,Female,null,6,0.0,2,null,null,143980.13,null,null,null,null,0
15571287,Ejimofor,635,Germany,Female,null,3,154863.69,2,null,null,147700.75,null,null,null,null,1
15571450,Hsueh,531,France,Male,null,8,161588.85,1,null,null,198490.05,null,null,null,null,0
15571465,Kao,682,France,Female,null,3,0.0,2,null,null,158313.96,null,null,null,null,0
15571515,Genovese,564,France,Male,null,1,0.0,3,null,null,78849.79,null,null,null,null,null
15571520,Hsia,584,Spain,Female,null,6,0.0,1,null,null,132963.31,null,null,null,null,null
15571543,Onyekachukwu,613,Spain,Female,null,1,0.0,2,null,null,80619.12,null,null,null,null,0
15571552,Iloerika,713,Spain,Female,null,10,133657.0,1,null,null,85422.36,null,null,null,null,0
15571555,Olisaemeka,641,Spain,Male,null,9,0.0,2,null,null,125762.82,null,null,null,null,0
15571606,Chu,446,France,Female,null,5,0.0,2,null,null,1276.6,null,null,null,null,null
15571622,Nkemakolam,682,France,Male,null,9,0.0,2,null,null,46775.0,null,null,null,null,null
15571654,Nwachukwu,674,France,Male,null,5,117412.26,1,null,null,92381.01,null,null,null,null,0
15571655,T'ien,681,France,Male,null,3,0.0,2,null,null,77500.68,null,null,null,null,0
15571673,Yeh,811,France,Male,null,7,0.0,1,null,null,120830.51,null,null,null,null,null
15571742,McEwan,580,Germany,Female,null,6,108019.65,1,null,null,74838.57,null,null,null,null,0
15571747,Okeke,757,Germany,Female,null,2,115743.52,3,null,null,135083.53,null,null,null,null,1
15571749,Azubuike,696,France,Male,null,8,126598.98,2,null,null,110421.13,null,null,null,null,0
15571753,Udegbulam,733,Spain,Female,null,9,0.0,1,null,null,173516.71,null,null,null,null,null
15571817,Hughes,649,Spain,Male,null,2,0.0,1,null,null,130446.64,null,null,null,null,1
